captador;fecha_lectura;tipo_polinico;granos_de_polen_x_metro_cubico
ALCA;2025/01/01 00:00:00.000;Abedul;
ALCA;2025/01/01 00:00:00.000;Aligustre;
ALCA;2025/01/01 00:00:00.000;Aliso;
ALCA;2025/01/01 00:00:00.000;Arce;
ALCA;2025/01/01 00:00:00.000;Artemisia;
ALCA;2025/01/01 00:00:00.000;Castaño;
ALCA;2025/01/01 00:00:00.000;Compuestas;
ALCA;2025/01/01 00:00:00.000;Corylus;
ALCA;2025/01/01 00:00:00.000;Cupresáceas/Taxáceas;
ALCA;2025/01/01 00:00:00.000;Ericaceae;
ALCA;2025/01/01 00:00:00.000;Eucalipto;
ALCA;2025/01/01 00:00:00.000;Fresno;
ALCA;2025/01/01 00:00:00.000;Gramíneas;
ALCA;2025/01/01 00:00:00.000;Moreras;
ALCA;2025/01/01 00:00:00.000;Olivo;
ALCA;2025/01/01 00:00:00.000;Olmos;
ALCA;2025/01/01 00:00:00.000;Otros;
ALCA;2025/01/01 00:00:00.000;Pinos;
ALCA;2025/01/01 00:00:00.000;Plantago;
ALCA;2025/01/01 00:00:00.000;Plátano de paseo;
ALCA;2025/01/01 00:00:00.000;PNI (Polen no identificado);
ALCA;2025/01/01 00:00:00.000;Populus;
ALCA;2025/01/01 00:00:00.000;Quenopodiáceas/Amarantáceas;
ALCA;2025/01/01 00:00:00.000;Quercus;
ALCA;2025/01/01 00:00:00.000;Rumex (Acederas);
ALCA;2025/01/01 00:00:00.000;Sauces;
ALCA;2025/01/01 00:00:00.000;Urticaceae (Ortigas);
ALCA;2025/01/02 00:00:00.000;Abedul;
ALCA;2025/01/02 00:00:00.000;Aligustre;
ALCA;2025/01/02 00:00:00.000;Aliso;
ALCA;2025/01/02 00:00:00.000;Arce;
ALCA;2025/01/02 00:00:00.000;Artemisia;
ALCA;2025/01/02 00:00:00.000;Castaño;
ALCA;2025/01/02 00:00:00.000;Compuestas;
ALCA;2025/01/02 00:00:00.000;Corylus;
ALCA;2025/01/02 00:00:00.000;Cupresáceas/Taxáceas;
ALCA;2025/01/02 00:00:00.000;Ericaceae;
ALCA;2025/01/02 00:00:00.000;Eucalipto;
ALCA;2025/01/02 00:00:00.000;Fresno;
ALCA;2025/01/02 00:00:00.000;Gramíneas;
ALCA;2025/01/02 00:00:00.000;Moreras;
ALCA;2025/01/02 00:00:00.000;Olivo;
ALCA;2025/01/02 00:00:00.000;Olmos;
ALCA;2025/01/02 00:00:00.000;Otros;
ALCA;2025/01/02 00:00:00.000;Pinos;
ALCA;2025/01/02 00:00:00.000;Plantago;
ALCA;2025/01/02 00:00:00.000;Plátano de paseo;
ALCA;2025/01/02 00:00:00.000;PNI (Polen no identificado);
ALCA;2025/01/02 00:00:00.000;Populus;
ALCA;2025/01/02 00:00:00.000;Quenopodiáceas/Amarantáceas;
ALCA;2025/01/02 00:00:00.000;Quercus;
ALCA;2025/01/02 00:00:00.000;Rumex (Acederas);
ALCA;2025/01/02 00:00:00.000;Sauces;
ALCA;2025/01/02 00:00:00.000;Urticaceae (Ortigas);
ALCA;2025/01/03 00:00:00.000;Abedul;
ALCA;2025/01/03 00:00:00.000;Aligustre;
ALCA;2025/01/03 00:00:00.000;Aliso;
ALCA;2025/01/03 00:00:00.000;Arce;
ALCA;2025/01/03 00:00:00.000;Artemisia;
ALCA;2025/01/03 00:00:00.000;Castaño;
ALCA;2025/01/03 00:00:00.000;Compuestas;
ALCA;2025/01/03 00:00:00.000;Corylus;
ALCA;2025/01/03 00:00:00.000;Cupresáceas/Taxáceas;
ALCA;2025/01/03 00:00:00.000;Ericaceae;
ALCA;2025/01/03 00:00:00.000;Eucalipto;
ALCA;2025/01/03 00:00:00.000;Fresno;
ALCA;2025/01/03 00:00:00.000;Gramíneas;
ALCA;2025/01/03 00:00:00.000;Moreras;
ALCA;2025/01/03 00:00:00.000;Olivo;
ALCA;2025/01/03 00:00:00.000;Olmos;
ALCA;2025/01/03 00:00:00.000;Otros;
ALCA;2025/01/03 00:00:00.000;Pinos;
ALCA;2025/01/03 00:00:00.000;Plantago;
ALCA;2025/01/03 00:00:00.000;Plátano de paseo;
ALCA;2025/01/03 00:00:00.000;PNI (Polen no identificado);
ALCA;2025/01/03 00:00:00.000;Populus;
ALCA;2025/01/03 00:00:00.000;Quenopodiáceas/Amarantáceas;
ALCA;2025/01/03 00:00:00.000;Quercus;
ALCA;2025/01/03 00:00:00.000;Rumex (Acederas);
ALCA;2025/01/03 00:00:00.000;Sauces;
ALCA;2025/01/03 00:00:00.000;Urticaceae (Ortigas);
ALCA;2025/01/04 00:00:00.000;Abedul;
ALCA;2025/01/04 00:00:00.000;Aligustre;
ALCA;2025/01/04 00:00:00.000;Aliso;
ALCA;2025/01/04 00:00:00.000;Arce;
ALCA;2025/01/04 00:00:00.000;Artemisia;
ALCA;2025/01/04 00:00:00.000;Castaño;
ALCA;2025/01/04 00:00:00.000;Compuestas;
ALCA;2025/01/04 00:00:00.000;Corylus;
ALCA;2025/01/04 00:00:00.000;Cupresáceas/Taxáceas;
ALCA;2025/01/04 00:00:00.000;Ericaceae;
ALCA;2025/01/04 00:00:00.000;Eucalipto;
ALCA;2025/01/04 00:00:00.000;Fresno;
