captador;fecha_lectura;tipo_polinico;granos_de_polen_x_metro_cubico
ALCO;2024/01/18 00:00:00.000;Aligustre;0
ALCO;2024/01/18 00:00:00.000;Aliso;1
ALCO;2024/01/18 00:00:00.000;Arce;0
ALCO;2024/01/18 00:00:00.000;Artemisia;0
ALCO;2024/01/18 00:00:00.000;Castaño;0
ALCO;2024/01/18 00:00:00.000;Compuestas;0
ALCO;2024/01/18 00:00:00.000;Corylus;0
ALCO;2024/01/18 00:00:00.000;Cupresáceas/Taxáceas;11
ALCO;2024/01/18 00:00:00.000;Ericaceae;0
ALCO;2024/01/18 00:00:00.000;Eucalipto;0
ALCO;2024/01/18 00:00:00.000;Fresno;2
ALCO;2024/01/18 00:00:00.000;Gramíneas;1
ALCO;2024/01/18 00:00:00.000;Moreras;0
ALCO;2024/01/18 00:00:00.000;Olivo;0
ALCO;2024/01/18 00:00:00.000;Olmos;0
ALCO;2024/01/18 00:00:00.000;Otros;0
