tipo_polinico,granos_de_polen_x_metro_cubico,fecha
Olivo,1.0,2021-07-21
Olivo,2.0,2021-07-22
Olivo,3.0,2021-07-23
Olivo,0.0,2021-07-24
Olivo,1.0,2021-07-25
Olivo,0.0,2021-07-26
Olivo,0.0,2021-07-27
Olivo,2.0,2021-07-28
Olivo,5.0,2021-07-29
Olivo,1.0,2021-07-30
Olivo,0.0,2021-07-31
Olivo,0.0,2021-08-01
Olivo,0.0,2021-08-02
Olivo,2.0,2021-08-03
Olivo,0.0,2021-08-04
Olivo,1.0,2021-08-05
Olivo,0.0,2021-08-06
Olivo,1.0,2021-08-07
Olivo,0.0,2021-08-08
Olivo,,2021-08-09
Olivo,,2021-08-10
Olivo,1.0,2021-08-11
Olivo,0.0,2021-08-12
Olivo,1.0,2021-08-13
Olivo,1.0,2021-08-14
Olivo,2.0,2021-08-15
Olivo,0.0,2021-08-16
Olivo,1.0,2021-08-17
Olivo,,2021-08-18
Olivo,,2021-08-19
Olivo,1.0,2021-08-20
Olivo,0.0,2021-08-21
Olivo,2.0,2021-08-22
Olivo,0.0,2021-08-23
Olivo,1.0,2021-08-24
Olivo,0.0,2021-08-25
Olivo,0.0,2021-08-26
Olivo,0.0,2021-08-27
Olivo,0.0,2021-08-28
Olivo,0.0,2021-08-29
Olivo,,2021-08-30
Olivo,,2021-08-31
Olivo,0.0,2021-09-01
Olivo,0.0,2021-09-02
Olivo,0.0,2021-09-03
Olivo,1.0,2021-09-04
Olivo,0.0,2021-09-05
Olivo,1.0,2021-09-06
Olivo,5.0,2021-09-07
Olivo,1.0,2021-09-08
Olivo,1.0,2021-09-09
Olivo,0.0,2021-09-10
Olivo,1.0,2021-09-11
Olivo,0.0,2021-09-12
Olivo,0.0,2021-09-13
Olivo,0.0,2021-09-14
Olivo,0.0,2021-09-15
Olivo,1.0,2021-09-16
Olivo,1.0,2021-09-17
Olivo,1.0,2021-09-18
Olivo,2.0,2021-09-19
Olivo,1.0,2021-09-20
Olivo,2.0,2021-09-21
Olivo,1.0,2021-09-22
Olivo,2.0,2021-09-23
Olivo,0.0,2021-09-24
Olivo,0.0,2021-09-25
Olivo,0.0,2021-09-26
Olivo,1.0,2021-09-27
Olivo,1.0,2021-09-28
Olivo,1.0,2021-09-29
Olivo,0.0,2021-09-30
Olivo,0.0,2021-10-01
Olivo,0.0,2021-10-02
Olivo,0.0,2021-10-03
Olivo,0.0,2021-10-04
Olivo,0.0,2021-10-05
Olivo,0.0,2021-10-06
Olivo,0.0,2021-10-07
Olivo,0.0,2021-10-08
Olivo,0.0,2021-10-09
Olivo,1.0,2021-10-10
Olivo,,2021-10-11
Olivo,,2021-10-12
Olivo,0.0,2021-10-13
Olivo,0.0,2021-10-14
Olivo,,2021-10-15
Olivo,,2021-10-16
Olivo,,2021-10-17
Olivo,0.0,2021-10-18
Olivo,0.0,2021-10-19
Olivo,0.0,2021-10-20
Olivo,0.0,2021-10-21
Olivo,0.0,2021-10-22
Olivo,0.0,2021-10-23
Olivo,0.0,2021-10-24
Olivo,0.0,2021-10-25
Olivo,0.0,2021-10-26
Olivo,0.0,2021-10-27
Olivo,0.0,2021-10-28
Olivo,1.0,2021-10-29
Olivo,0.0,2021-10-30
Olivo,0.0,2021-10-31
Olivo,0.0,2021-11-01
Olivo,0.0,2021-11-02
Olivo,0.0,2021-11-03
Olivo,0.0,2021-11-04
Olivo,0.0,2021-11-05
Olivo,0.0,2021-11-06
Olivo,0.0,2021-11-07
Olivo,0.0,2021-11-08
Olivo,1.0,2021-11-09
Olivo,0.0,2021-11-10
Olivo,0.0,2021-11-11
Olivo,0.0,2021-11-12
Olivo,0.0,2021-11-13
Olivo,0.0,2021-11-14
Olivo,0.0,2021-11-15
Olivo,0.0,2021-11-16
Olivo,0.0,2021-11-17
Olivo,0.0,2021-11-18
Olivo,0.0,2021-11-19
Olivo,0.0,2021-11-20
Olivo,0.0,2021-11-21
Olivo,0.0,2021-11-22
Olivo,1.0,2021-11-23
Olivo,0.0,2021-11-24
Olivo,0.0,2021-11-25
Olivo,0.0,2021-11-26
Olivo,0.0,2021-11-27
Olivo,0.0,2021-11-28
Olivo,0.0,2021-11-29
Olivo,0.0,2021-11-30
Olivo,0.0,2021-12-01
Olivo,0.0,2021-12-02
Olivo,0.0,2021-12-03
Olivo,0.0,2021-12-04
Olivo,,2021-12-05
Olivo,,2021-12-06
Olivo,,2021-12-07
Olivo,,2021-12-08
Olivo,,2021-12-09
Olivo,,2021-12-10
Olivo,,2021-12-11
Olivo,,2021-12-12
Olivo,0.0,2021-12-13
Olivo,0.0,2021-12-14
Olivo,0.0,2021-12-15
Olivo,0.0,2021-12-16
Olivo,,2021-12-17
Olivo,,2021-12-18
Olivo,,2021-12-19
Olivo,0.0,2021-12-20
Olivo,0.0,2021-12-21
Olivo,0.0,2021-12-22
Olivo,0.0,2021-12-23
Olivo,0.0,2021-12-24
Olivo,0.0,2021-12-25
Olivo,0.0,2021-12-26
Olivo,0.0,2021-12-27
Olivo,0.0,2021-12-28
Olivo,0.0,2021-12-29
Olivo,,2021-12-30
Olivo,,2021-12-31
Olivo,,2022-01-01
Olivo,,2022-01-02
Olivo,,2022-01-03
Olivo,,2022-01-04
Olivo,,2022-01-05
Olivo,,2022-01-06
Olivo,,2022-01-07
Olivo,,2022-01-08
