time,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),et0_fao_evapotranspiration (mm),dew_point_2m (°C),rain (mm),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),vapour_pressure_deficit (kPa),cloud_cover (%),shortwave_radiation (W/m²)
2019-01-01T00:00,7.3,18.9,36.0,98,257,0.00,7.0,0.00,6.9,0.363,0.02,100,0.0
2019-01-01T01:00,7.4,21.7,36.7,96,255,0.00,6.8,0.00,6.8,0.362,0.04,100,0.0
2019-01-01T02:00,7.2,23.7,40.3,95,253,0.00,6.4,0.00,6.6,0.362,0.05,100,0.0
2019-01-01T03:00,7.2,26.9,46.1,92,252,0.01,5.9,0.00,6.5,0.362,0.08,100,0.0
2019-01-01T04:00,7.2,30.3,51.5,88,254,0.02,5.3,0.10,6.4,0.363,0.12,100,0.0
2019-01-01T05:00,6.9,28.3,52.9,88,263,0.01,5.1,0.10,6.3,0.363,0.12,100,0.0
2019-01-01T06:00,6.5,28.8,49.0,86,252,0.02,4.2,0.00,6.2,0.363,0.14,100,0.0
2019-01-01T07:00,6.2,29.4,50.4,84,251,0.02,3.8,0.10,6.1,0.363,0.15,100,0.0
2019-01-01T08:00,6.7,29.3,51.1,85,256,0.04,4.2,0.10,6.1,0.363,0.15,100,1.0
2019-01-01T09:00,7.0,28.8,50.4,87,261,0.03,4.9,0.20,6.1,0.364,0.13,100,11.0
2019-01-01T10:00,7.2,28.2,50.0,89,266,0.03,5.6,0.40,6.2,0.367,0.11,100,14.0
2019-01-01T11:00,7.4,31.0,54.0,88,270,0.04,5.7,0.10,6.3,0.367,0.12,60,34.0
2019-01-01T12:00,7.3,32.1,67.3,83,290,0.06,4.7,0.30,6.8,0.367,0.17,45,143.0
2019-01-01T13:00,7.1,32.1,55.8,77,283,0.07,3.3,0.00,6.7,0.366,0.23,89,136.0
2019-01-01T14:00,6.7,32.8,56.5,75,279,0.06,2.6,0.00,6.6,0.365,0.24,68,99.0
2019-01-01T15:00,5.9,36.8,61.9,79,286,0.05,2.5,0.20,6.3,0.367,0.20,59,16.0
2019-01-01T16:00,5.4,35.3,65.2,75,293,0.04,1.4,0.20,5.9,0.368,0.22,63,0.0
2019-01-01T17:00,5.2,33.4,60.8,71,284,0.05,0.2,0.00,5.7,0.367,0.26,11,0.0
2019-01-01T18:00,4.3,35.1,59.8,68,287,0.05,-1.0,0.10,5.2,0.367,0.27,29,0.0
2019-01-01T19:00,4.3,35.2,60.8,63,288,0.06,-2.2,0.00,4.9,0.366,0.31,26,0.0
2019-01-01T20:00,4.2,35.1,60.8,58,289,0.07,-3.3,0.00,4.8,0.366,0.34,34,0.0
2019-01-01T21:00,4.0,34.1,60.5,56,292,0.07,-4.1,0.00,4.7,0.365,0.36,61,0.0
2019-01-01T22:00,3.8,32.9,59.0,56,295,0.07,-4.2,0.00,4.5,0.364,0.36,68,0.0
2019-01-01T23:00,3.4,31.2,56.9,61,297,0.06,-3.5,0.00,4.4,0.364,0.31,100,0.0
2019-01-02T00:00,3.0,30.1,54.0,70,296,0.04,-2.0,0.00,4.1,0.363,0.23,85,0.0
2019-01-02T01:00,3.1,28.8,52.6,66,299,0.05,-2.5,0.00,4.0,0.362,0.26,27,0.0
2019-01-02T02:00,3.0,28.4,49.7,66,299,0.05,-2.8,0.00,3.8,0.362,0.26,20,0.0
2019-01-02T03:00,3.2,30.4,52.2,61,304,0.06,-3.5,0.00,3.7,0.361,0.30,13,0.0
2019-01-02T04:00,3.5,31.1,54.0,55,313,0.07,-4.7,0.00,3.7,0.361,0.35,30,0.0
2019-01-02T05:00,3.3,31.0,54.4,50,321,0.08,-6.2,0.00,3.7,0.360,0.39,15,0.0
2019-01-02T06:00,2.8,29.1,53.3,50,324,0.07,-6.7,0.00,3.5,0.360,0.38,30,0.0
2019-01-02T07:00,2.4,27.9,50.0,53,327,0.07,-6.3,0.00,3.3,0.359,0.34,37,0.0
2019-01-02T08:00,2.0,28.4,49.3,57,336,0.06,-5.6,0.00,3.2,0.358,0.30,91,10.0
2019-01-02T09:00,2.2,28.2,49.3,54,349,0.08,-6.2,0.00,3.2,0.358,0.33,99,46.0
2019-01-02T10:00,2.6,22.3,49.0,51,339,0.08,-6.6,0.00,3.5,0.357,0.36,65,100.0
2019-01-02T11:00,3.0,28.2,49.3,42,346,0.11,-8.8,0.00,3.8,0.356,0.44,4,167.0
2019-01-02T12:00,3.1,27.3,52.2,50,342,0.11,-6.4,0.00,4.0,0.355,0.39,10,221.0
2019-01-02T13:00,3.1,25.8,48.2,44,345,0.11,-8.0,0.00,4.1,0.354,0.43,59,166.0
2019-01-02T14:00,2.5,24.5,45.4,51,340,0.08,-6.7,0.00,3.8,0.354,0.36,43,80.0
2019-01-02T15:00,1.9,22.3,42.5,49,342,0.07,-7.7,0.00,3.5,0.353,0.36,46,23.0
2019-01-02T16:00,1.2,22.8,40.3,43,348,0.07,-9.9,0.00,3.0,0.353,0.38,24,0.0
2019-01-02T17:00,0.7,23.1,39.6,41,342,0.07,-11.0,0.00,2.7,0.352,0.38,72,0.0
2019-01-02T18:00,0.4,22.1,40.3,39,341,0.07,-11.9,0.00,2.3,0.352,0.39,44,0.0
2019-01-02T19:00,0.2,20.8,38.2,41,337,0.06,-11.4,0.00,2.0,0.352,0.36,24,0.0
2019-01-02T20:00,-0.2,19.7,35.6,45,336,0.06,-10.8,0.00,1.7,0.351,0.33,3,0.0
2019-01-02T21:00,-0.8,17.1,33.5,49,332,0.04,-10.2,0.00,1.4,0.351,0.30,0,0.0
2019-01-02T22:00,-1.5,14.0,28.8,55,318,0.03,-9.3,0.00,1.0,0.351,0.25,1,0.0
2019-01-02T23:00,-2.2,13.6,23.8,63,307,0.02,-8.2,0.00,0.8,0.350,0.19,1,0.0
2019-01-03T00:00,-2.3,12.4,23.8,69,306,0.02,-7.3,0.00,0.9,0.350,0.16,1,0.0
2019-01-03T01:00,-2.4,13.7,22.7,75,305,0.01,-6.2,0.00,0.7,0.350,0.13,1,0.0
2019-01-03T02:00,-2.0,15.5,25.9,78,306,0.01,-5.2,0.00,0.6,0.350,0.12,3,0.0
2019-01-03T03:00,-1.8,16.8,28.4,78,305,0.01,-5.1,0.00,0.6,0.350,0.12,19,0.0
2019-01-03T04:00,-1.8,17.9,29.9,80,300,0.01,-4.7,0.00,0.6,0.350,0.11,22,0.0
2019-01-03T05:00,-1.4,19.2,32.4,83,304,0.01,-3.8,0.00,0.5,0.349,0.09,60,0.0
2019-01-03T06:00,-0.5,20.2,34.2,79,309,0.02,-3.8,0.00,0.5,0.349,0.13,29,0.0
2019-01-03T07:00,-0.5,20.4,34.6,75,311,0.02,-4.4,0.00,0.5,0.349,0.15,54,0.0
2019-01-03T08:00,-0.2,21.4,36.0,72,311,0.03,-4.7,0.00,0.5,0.349,0.17,55,10.0
2019-01-03T09:00,0.8,20.9,38.2,69,314,0.04,-4.2,0.00,0.6,0.349,0.20,74,71.0
2019-01-03T10:00,1.4,19.0,35.6,69,307,0.06,-3.8,0.00,0.6,0.348,0.21,89,121.0
2019-01-03T11:00,1.6,16.3,33.1,68,313,0.06,-3.6,0.00,0.9,0.348,0.22,99,101.0
2019-01-03T12:00,1.7,14.8,28.1,73,315,0.05,-2.7,0.00,1.5,0.347,0.19,59,96.0
