time,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),et0_fao_evapotranspiration (mm),dew_point_2m (°C),rain (mm),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),vapour_pressure_deficit (kPa),cloud_cover (%),shortwave_radiation (W/m²)
2021-01-01T00:00,0.5,7.1,16.2,94,150,0.00,-0.3,0.00,1.5,0.340,0.04,99,0.0
2021-01-01T01:00,0.5,6.3,12.6,94,149,0.00,-0.3,0.00,1.2,0.340,0.04,91,0.0
2021-01-01T02:00,0.1,6.3,11.2,95,149,0.00,-0.6,0.00,0.9,0.340,0.03,99,0.0
2021-01-01T03:00,0.6,6.3,11.9,94,149,0.00,-0.2,0.00,0.9,0.340,0.04,98,0.0
2021-01-01T04:00,0.8,5.7,10.8,94,145,0.00,-0.2,0.00,0.9,0.340,0.04,98,0.0
2021-01-01T05:00,0.2,5.3,9.4,95,152,0.00,-0.5,0.00,0.9,0.340,0.03,96,0.0
2021-01-01T06:00,-0.8,6.5,9.0,96,174,0.00,-1.3,0.00,0.8,0.340,0.02,99,0.0
2021-01-01T07:00,-0.2,4.0,9.0,96,175,0.00,-0.7,0.00,0.8,0.340,0.02,100,0.0
2021-01-01T08:00,0.2,6.2,9.7,96,173,0.01,-0.3,0.00,0.8,0.340,0.02,99,5.0
2021-01-01T09:00,0.8,8.0,14.0,95,188,0.01,0.1,0.00,0.8,0.340,0.03,97,44.0
2021-01-01T10:00,1.4,8.9,16.9,94,220,0.02,0.5,0.10,1.1,0.340,0.04,99,79.0
2021-01-01T11:00,1.2,7.2,16.9,97,233,0.02,0.8,0.20,1.5,0.342,0.02,100,50.0
2021-01-01T12:00,1.2,6.9,14.0,96,261,0.02,0.8,0.10,1.4,0.347,0.02,100,54.0
2021-01-01T13:00,1.8,7.3,13.3,95,250,0.02,1.0,0.00,1.8,0.347,0.03,100,49.0
2021-01-01T14:00,2.1,7.4,14.4,94,247,0.02,1.2,0.00,2.0,0.347,0.04,99,43.0
2021-01-01T15:00,1.7,4.8,12.2,96,228,0.01,1.1,0.00,1.9,0.347,0.03,88,15.0
2021-01-01T16:00,1.7,6.2,10.4,96,216,0.00,1.1,0.00,1.8,0.347,0.03,96,0.0
2021-01-01T17:00,1.7,8.0,13.0,96,216,0.00,1.1,0.00,1.6,0.347,0.03,97,0.0
2021-01-01T18:00,1.6,8.8,14.8,95,215,0.00,1.0,0.00,1.6,0.346,0.03,67,0.0
2021-01-01T19:00,1.5,9.6,16.2,95,214,0.00,0.9,0.00,1.5,0.346,0.03,91,0.0
2021-01-01T20:00,1.3,8.9,15.8,95,220,0.00,0.6,0.00,1.4,0.346,0.03,67,0.0
2021-01-01T21:00,0.8,7.9,14.8,95,227,0.00,0.2,0.00,1.1,0.346,0.03,81,0.0
2021-01-01T22:00,0.7,7.9,13.7,95,219,0.00,0.0,0.00,1.0,0.346,0.03,98,0.0
2021-01-01T23:00,1.0,8.8,14.8,95,215,0.00,0.3,0.00,1.0,0.346,0.03,92,0.0
2021-01-02T00:00,0.6,8.4,14.8,94,220,0.00,-0.3,0.00,1.0,0.340,0.04,85,0.0
2021-01-02T01:00,0.1,8.0,13.7,93,216,0.00,-0.9,0.00,0.8,0.340,0.04,13,0.0
2021-01-02T02:00,-0.3,8.4,13.3,93,200,0.00,-1.3,0.00,0.6,0.340,0.04,10,0.0
2021-01-02T03:00,-0.6,9.2,15.5,94,201,0.00,-1.5,0.00,0.6,0.340,0.04,24,0.0
2021-01-02T04:00,-0.6,8.7,15.5,94,210,0.00,-1.5,0.00,0.4,0.340,0.04,46,0.0
2021-01-02T05:00,-0.3,8.9,14.8,94,207,0.00,-1.2,0.00,0.4,0.340,0.04,80,0.0
2021-01-02T06:00,-0.2,7.9,15.5,94,210,0.00,-1.0,0.00,0.4,0.340,0.04,95,0.0
2021-01-02T07:00,0.2,7.4,13.7,94,209,0.00,-0.8,0.00,0.4,0.340,0.04,92,0.0
2021-01-02T08:00,0.6,8.4,13.3,93,205,0.01,-0.4,0.00,0.4,0.340,0.04,82,4.0
2021-01-02T09:00,0.9,8.2,14.4,93,209,0.01,-0.1,0.00,0.5,0.340,0.05,72,39.0
2021-01-02T10:00,1.7,5.9,14.4,91,223,0.03,0.4,0.00,0.6,0.340,0.06,100,111.0
2021-01-02T11:00,2.5,5.1,13.0,90,225,0.04,1.0,0.00,1.0,0.340,0.07,91,125.0
2021-01-02T12:00,2.3,3.0,12.6,91,194,0.04,0.9,0.00,1.4,0.339,0.07,61,138.0
2021-01-02T13:00,2.6,1.6,9.0,90,297,0.04,1.1,0.00,2.2,0.339,0.07,20,135.0
2021-01-02T14:00,2.2,2.3,6.8,95,141,0.02,1.5,0.00,2.3,0.339,0.04,14,102.0
2021-01-02T15:00,-0.3,7.7,9.0,97,118,0.00,-0.7,0.00,1.7,0.339,0.02,39,26.0
2021-01-02T16:00,-0.6,6.0,9.4,99,73,0.00,-0.9,0.00,1.0,0.339,0.01,44,0.0
2021-01-02T17:00,-1.0,6.4,9.7,99,74,0.00,-1.2,0.00,0.8,0.339,0.01,29,0.0
2021-01-02T18:00,-0.1,6.3,10.1,98,77,0.00,-0.4,0.00,0.8,0.339,0.01,82,0.0
2021-01-02T19:00,0.4,7.6,13.0,97,71,0.00,0.1,0.00,0.8,0.339,0.02,96,0.0
2021-01-02T20:00,0.3,9.4,15.1,97,67,0.00,-0.2,0.00,0.8,0.339,0.02,85,0.0
2021-01-02T21:00,-0.1,9.6,16.9,98,77,0.00,-0.4,0.00,0.7,0.339,0.01,99,0.0
2021-01-02T22:00,-0.6,11.7,20.2,99,81,0.00,-0.8,0.00,0.7,0.338,0.01,100,0.0
2021-01-02T23:00,-1.0,13.0,23.4,99,71,0.00,-1.2,0.00,0.6,0.338,0.01,100,0.0
2021-01-03T00:00,-0.6,12.5,24.1,97,57,0.00,-1.0,0.00,0.9,0.338,0.01,100,0.0
2021-01-03T01:00,-0.6,13.8,23.4,98,47,0.00,-0.9,0.00,0.8,0.338,0.01,100,0.0
2021-01-03T02:00,-0.3,16.1,27.0,97,40,0.00,-0.7,0.00,0.8,0.338,0.02,100,0.0
2021-01-03T03:00,-0.1,17.9,30.6,96,50,0.00,-0.6,0.00,0.8,0.338,0.02,100,0.0
2021-01-03T04:00,-0.2,18.1,30.6,97,49,0.00,-0.6,0.00,0.8,0.338,0.02,100,0.0
2021-01-03T05:00,-0.1,17.6,31.0,96,43,0.00,-0.6,0.00,0.7,0.338,0.02,100,0.0
2021-01-03T06:00,0.1,20.6,35.3,93,47,0.00,-0.9,0.00,0.7,0.338,0.04,100,0.0
2021-01-03T07:00,-0.1,21.1,36.4,92,46,0.00,-1.1,0.00,0.7,0.338,0.05,100,0.0
2021-01-03T08:00,-0.2,20.2,36.4,92,51,0.01,-1.4,0.00,0.7,0.338,0.05,100,2.0
2021-01-03T09:00,-0.3,19.9,34.6,93,42,0.02,-1.3,0.00,0.7,0.337,0.04,100,7.0
2021-01-03T10:00,-0.1,20.9,37.1,92,45,0.02,-1.2,0.00,0.7,0.337,0.05,100,23.0
2021-01-03T11:00,0.2,19.6,34.9,92,43,0.02,-0.9,0.00,0.8,0.337,0.05,100,30.0
2021-01-03T12:00,0.1,21.7,33.1,93,47,0.02,-0.9,0.00,0.7,0.337,0.04,100,31.0
2021-01-03T13:00,0.4,21.4,36.4,92,49,0.02,-0.7,0.00,0.8,0.337,0.05,100,41.0
2021-01-03T14:00,0.6,21.7,37.8,92,54,0.02,-0.6,0.00,0.8,0.337,0.05,100,33.0
2021-01-03T15:00,0.5,19.7,37.1,94,59,0.01,-0.4,0.00,0.9,0.337,0.04,100,9.0
2021-01-03T16:00,0.7,19.5,33.8,94,60,0.00,-0.2,0.00,0.9,0.337,0.04,100,0.0
2021-01-03T17:00,0.8,19.3,33.5,94,61,0.00,-0.1,0.00,0.9,0.338,0.04,100,0.0
2021-01-03T18:00,0.8,18.7,33.1,94,60,0.00,-0.1,0.10,0.9,0.339,0.04,100,0.0
2021-01-03T19:00,0.7,18.2,32.0,94,56,0.00,-0.1,0.10,0.9,0.340,0.04,100,0.0
2021-01-03T20:00,0.8,17.9,31.0,94,52,0.00,-0.1,0.00,0.9,0.341,0.04,100,0.0
2021-01-03T21:00,0.6,17.6,30.2,95,47,0.00,-0.1,0.10,0.9,0.341,0.03,100,0.0
2021-01-03T22:00,0.6,17.6,29.9,95,46,0.00,-0.1,0.10,0.9,0.342,0.03,100,0.0
2021-01-03T23:00,0.6,18.3,31.0,94,43,0.00,-0.2,0.00,0.9,0.342,0.04,100,0.0
2021-01-04T00:00,0.6,15.9,31.7,94,39,0.00,-0.3,0.00,0.9,0.346,0.04,100,0.0
2021-01-04T01:00,0.7,16.3,27.7,93,45,0.00,-0.3,0.00,0.9,0.346,0.05,98,0.0
2021-01-04T02:00,0.6,15.5,27.7,93,48,0.00,-0.4,0.00,0.9,0.346,0.04,99,0.0
2021-01-04T03:00,0.4,15.3,26.6,93,45,0.00,-0.6,0.00,0.9,0.345,0.04,99,0.0
2021-01-04T04:00,0.3,15.0,25.9,93,44,0.00,-0.6,0.00,0.9,0.345,0.04,99,0.0
2021-01-04T05:00,0.4,15.3,25.6,93,43,0.00,-0.6,0.00,0.9,0.345,0.05,99,0.0
2021-01-04T06:00,0.4,15.0,26.3,92,44,0.00,-0.6,0.00,0.9,0.345,0.05,98,0.0
2021-01-04T07:00,0.4,14.8,25.2,93,47,0.00,-0.6,0.00,0.9,0.344,0.05,94,0.0
2021-01-04T08:00,0.6,14.8,24.8,92,49,0.01,-0.6,0.00,0.9,0.344,0.05,100,2.0
2021-01-04T09:00,0.7,16.1,27.0,92,51,0.02,-0.4,0.00,0.9,0.344,0.05,100,15.0
2021-01-04T10:00,0.9,17.4,30.6,91,56,0.02,-0.4,0.00,1.0,0.344,0.06,100,28.0
2021-01-04T11:00,1.0,17.4,30.6,90,60,0.02,-0.4,0.10,1.2,0.345,0.07,100,44.0
2021-01-04T12:00,1.1,11.5,30.2,94,51,0.02,0.2,0.00,1.5,0.351,0.04,100,39.0
2021-01-04T13:00,1.2,11.5,19.8,92,49,0.02,0.0,0.00,1.6,0.352,0.06,99,49.0
2021-01-04T14:00,0.9,11.5,19.8,93,49,0.02,-0.2,0.10,1.6,0.352,0.05,98,41.0
2021-01-04T15:00,0.5,12.3,20.5,94,50,0.01,-0.4,0.10,1.4,0.352,0.04,98,10.0
2021-01-04T16:00,0.0,12.2,20.9,95,47,0.00,-0.7,0.00,1.1,0.351,0.03,93,0.0
2021-01-04T17:00,-0.3,11.3,21.2,95,53,0.00,-1.0,0.00,0.9,0.351,0.03,84,0.0
