time,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),et0_fao_evapotranspiration (mm),dew_point_2m (°C),rain (mm),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),vapour_pressure_deficit (kPa),cloud_cover (%),shortwave_radiation (W/m²)
2020-01-01T00:00,2.0,10.3,19.4,94,282,0.00,1.2,0.00,3.0,0.328,0.04,3,0.0
2020-01-01T01:00,1.8,11.2,18.7,95,270,0.00,1.1,0.00,2.7,0.328,0.03,12,0.0
2020-01-01T02:00,1.1,10.1,18.7,96,276,0.00,0.6,0.00,2.3,0.328,0.02,3,0.0
2020-01-01T03:00,0.3,9.4,16.9,97,277,0.00,-0.1,0.00,2.0,0.328,0.02,5,0.0
2020-01-01T04:00,-0.1,9.4,15.8,97,277,0.00,-0.5,0.00,1.6,0.328,0.02,6,0.0
2020-01-01T05:00,-0.3,10.5,17.6,97,274,0.00,-0.8,0.00,1.2,0.328,0.02,6,0.0
2020-01-01T06:00,-0.6,9.5,18.0,97,281,0.00,-1.0,0.00,1.0,0.328,0.02,1,0.0
2020-01-01T07:00,-1.1,7.7,16.2,97,281,0.00,-1.5,0.00,0.9,0.328,0.02,2,0.0
2020-01-01T08:00,-0.5,9.4,15.1,96,268,0.00,-1.0,0.00,0.8,0.328,0.02,26,11.0
2020-01-01T09:00,1.1,11.2,18.7,93,272,0.01,0.1,0.00,0.9,0.328,0.05,58,70.0
2020-01-01T10:00,2.5,8.2,18.4,89,255,0.03,0.9,0.00,1.7,0.328,0.08,54,112.0
2020-01-01T11:00,3.5,8.9,17.3,87,238,0.05,1.5,0.00,2.7,0.328,0.10,38,139.0
2020-01-01T12:00,4.0,11.5,22.0,81,238,0.05,1.0,0.00,3.5,0.325,0.15,29,159.0
2020-01-01T13:00,4.0,12.3,22.7,75,232,0.05,0.0,0.00,3.7,0.325,0.20,44,130.0
2020-01-01T14:00,3.5,9.2,21.6,79,228,0.03,0.2,0.00,3.7,0.325,0.17,56,91.0
2020-01-01T15:00,2.0,8.2,15.5,89,229,0.01,0.4,0.00,3.2,0.325,0.07,33,25.0
2020-01-01T16:00,0.7,7.7,13.7,93,229,0.00,-0.3,0.00,2.4,0.325,0.05,16,0.0
2020-01-01T17:00,0.2,8.1,13.0,95,225,0.00,-0.6,0.00,1.8,0.325,0.03,1,0.0
2020-01-01T18:00,0.1,9.9,15.8,95,224,0.00,-0.7,0.00,1.4,0.325,0.03,0,0.0
2020-01-01T19:00,-0.4,10.2,16.6,94,228,0.00,-1.2,0.00,0.9,0.325,0.04,0,0.0
2020-01-01T20:00,-0.6,10.9,18.0,93,226,0.00,-1.6,0.00,0.8,0.325,0.04,0,0.0
2020-01-01T21:00,-0.9,10.0,18.0,92,229,0.00,-2.1,0.00,0.7,0.325,0.05,0,0.0
2020-01-01T22:00,-2.2,8.4,16.2,92,245,0.00,-3.3,0.00,0.6,0.325,0.04,0,0.0
2020-01-01T23:00,-3.0,9.2,13.3,92,249,0.00,-4.0,0.00,0.5,0.325,0.04,0,0.0
2020-01-02T00:00,-1.8,7.8,12.6,89,248,0.00,-3.3,0.00,-0.1,0.324,0.06,0,0.0
2020-01-02T01:00,-3.2,8.7,12.6,91,240,0.00,-4.6,0.00,-0.2,0.324,0.04,0,0.0
2020-01-02T02:00,-3.5,8.4,12.2,91,223,0.00,-4.7,0.00,-0.2,0.324,0.04,0,0.0
2020-01-02T03:00,-3.2,7.0,11.9,90,215,0.00,-4.5,0.00,-0.2,0.324,0.05,0,0.0
2020-01-02T04:00,-2.5,9.9,15.8,88,213,0.00,-4.2,0.00,-0.3,0.324,0.06,0,0.0
2020-01-02T05:00,-2.5,9.4,17.3,87,212,0.00,-4.4,0.00,-0.3,0.324,0.07,0,0.0
2020-01-02T06:00,-3.8,8.9,15.5,89,212,0.00,-5.3,0.00,-0.3,0.324,0.05,0,0.0
2020-01-02T07:00,-3.3,7.0,12.2,88,215,0.00,-4.9,0.00,-0.4,0.324,0.06,0,0.0
2020-01-02T08:00,-2.2,8.4,13.3,85,211,0.01,-4.3,0.00,-0.4,0.324,0.08,0,12.0
2020-01-02T09:00,0.1,12.0,19.1,74,213,0.03,-4.0,0.00,-0.4,0.324,0.16,0,89.0
2020-01-02T10:00,2.3,12.1,20.9,63,217,0.06,-4.1,0.00,-0.3,0.324,0.27,0,169.0
2020-01-02T11:00,4.0,12.0,22.3,53,224,0.09,-4.7,0.00,-0.2,0.324,0.38,0,219.0
2020-01-02T12:00,4.9,13.8,22.3,55,219,0.10,-3.3,0.00,-0.9,0.324,0.39,0,226.0
2020-01-02T13:00,5.2,14.0,24.5,53,215,0.09,-3.6,0.00,-0.8,0.324,0.42,0,189.0
2020-01-02T14:00,3.8,10.5,23.0,57,218,0.05,-3.8,0.00,-0.7,0.324,0.35,0,118.0
