time,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),et0_fao_evapotranspiration (mm),dew_point_2m (°C),rain (mm),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),vapour_pressure_deficit (kPa),cloud_cover (%),shortwave_radiation (W/m²)
2022-01-01T00:00,11.4,20.9,39.6,94,268,0.00,10.5,0.00,9.1,0.402,0.08,100,0.0
2022-01-01T01:00,11.6,21.6,35.6,93,273,0.00,10.4,0.10,9.1,0.401,0.10,100,0.0
2022-01-01T02:00,11.7,23.4,39.2,90,274,0.01,10.1,0.10,9.1,0.400,0.13,100,0.0
2022-01-01T03:00,11.2,22.3,42.5,92,273,0.00,10.0,0.10,9.0,0.399,0.11,100,0.0
2022-01-01T04:00,11.4,22.5,40.0,93,276,0.00,10.2,0.20,9.0,0.399,0.10,98,0.0
2022-01-01T05:00,11.0,19.8,37.1,94,270,0.00,10.1,0.10,8.9,0.398,0.08,100,0.0
2022-01-01T06:00,11.0,19.4,33.5,95,271,0.00,10.2,0.00,8.9,0.396,0.07,100,0.0
2022-01-01T07:00,11.1,20.2,33.5,95,266,0.00,10.3,0.00,9.0,0.395,0.06,100,0.0
2022-01-01T08:00,11.2,22.7,37.8,94,269,0.02,10.2,0.00,9.1,0.393,0.08,100,2.0
2022-01-01T09:00,11.2,22.3,38.2,93,271,0.03,10.1,0.00,9.1,0.392,0.10,100,16.0
2022-01-01T10:00,11.4,21.3,37.4,92,273,0.03,10.2,0.00,9.3,0.390,0.11,100,42.0
2022-01-01T11:00,11.6,18.6,35.3,92,279,0.04,10.4,0.00,9.5,0.389,0.10,100,50.0
2022-01-01T12:00,11.8,15.6,30.6,92,278,0.03,10.6,0.00,10.4,0.386,0.11,100,42.0
2022-01-01T13:00,12.1,14.8,26.3,91,269,0.03,10.6,0.00,10.2,0.385,0.12,100,31.0
2022-01-01T14:00,12.0,14.6,24.5,91,260,0.03,10.6,0.00,10.1,0.385,0.12,100,28.0
2022-01-01T15:00,11.2,11.5,23.8,94,250,0.02,10.3,0.00,9.8,0.384,0.08,98,11.0
2022-01-01T16:00,10.6,10.1,19.1,95,235,0.00,9.8,0.00,9.3,0.383,0.07,99,0.0
2022-01-01T17:00,10.2,10.8,17.6,94,233,0.00,9.2,0.00,9.0,0.382,0.08,93,0.0
2022-01-01T18:00,9.8,10.7,17.3,93,220,0.00,8.8,0.00,8.6,0.382,0.08,100,0.0
2022-01-01T19:00,9.9,12.3,20.2,93,220,0.00,8.8,0.00,8.6,0.381,0.09,100,0.0
2022-01-01T20:00,9.4,11.6,19.4,93,210,0.00,8.4,0.00,8.4,0.381,0.08,100,0.0
2022-01-01T21:00,9.1,11.4,19.4,93,193,0.00,8.1,0.00,8.2,0.380,0.08,100,0.0
2022-01-01T22:00,8.7,13.8,22.3,94,195,0.00,7.8,0.00,8.1,0.380,0.07,100,0.0
2022-01-01T23:00,8.4,15.7,25.6,94,189,0.00,7.4,0.00,7.8,0.379,0.07,100,0.0
2022-01-02T00:00,9.1,14.8,25.6,92,206,0.00,7.9,0.00,8.9,0.378,0.09,100,0.0
2022-01-02T01:00,8.4,16.3,26.6,93,198,0.00,7.4,0.00,8.4,0.378,0.08,100,0.0
2022-01-02T02:00,8.1,16.9,28.1,94,192,0.00,7.2,0.00,7.9,0.377,0.07,100,0.0
2022-01-02T03:00,7.8,16.3,27.7,94,198,0.00,6.9,0.00,7.6,0.377,0.06,100,0.0
2022-01-02T04:00,7.8,15.9,27.0,95,213,0.00,6.9,0.00,7.3,0.376,0.06,100,0.0
2022-01-02T05:00,7.9,13.0,26.3,95,224,0.00,7.2,0.00,7.2,0.376,0.06,100,0.0
2022-01-02T06:00,7.7,13.0,21.2,95,222,0.00,6.9,0.00,7.1,0.375,0.05,100,0.0
2022-01-02T07:00,8.0,13.9,22.3,94,217,0.00,7.1,0.00,7.0,0.375,0.06,100,0.0
2022-01-02T08:00,9.0,16.1,25.6,90,219,0.02,7.4,0.00,7.2,0.375,0.11,100,6.0
2022-01-02T09:00,10.1,19.0,31.0,87,233,0.03,7.9,0.20,7.6,0.377,0.16,100,16.0
2022-01-02T10:00,10.2,18.8,31.7,89,227,0.04,8.5,0.30,8.1,0.380,0.14,100,40.0
2022-01-02T11:00,10.2,17.4,31.7,90,214,0.04,8.6,0.30,8.3,0.383,0.12,100,39.0
2022-01-02T12:00,11.6,14.8,34.6,90,219,0.04,10.1,0.40,8.6,0.400,0.13,100,38.0
