time,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),et0_fao_evapotranspiration (mm),dew_point_2m (°C),rain (mm),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),vapour_pressure_deficit (kPa),cloud_cover (%),shortwave_radiation (W/m²)
2023-01-01T00:00,15.2,30.5,49.7,59,232,0.11,7.2,0.00,11.4,0.371,0.72,100,0.0
2023-01-01T01:00,15.6,30.7,52.2,55,231,0.13,6.6,0.00,11.4,0.370,0.81,100,0.0
2023-01-01T02:00,15.7,31.3,52.2,52,232,0.13,6.0,0.00,11.4,0.369,0.85,100,0.0
2023-01-01T03:00,15.8,28.4,52.2,51,231,0.13,5.6,0.00,11.4,0.368,0.89,100,0.0
2023-01-01T04:00,15.8,28.3,47.9,49,223,0.13,5.2,0.00,11.6,0.367,0.90,85,0.0
2023-01-01T05:00,14.6,27.4,47.2,55,219,0.11,5.6,0.00,11.4,0.366,0.75,100,0.0
2023-01-01T06:00,14.4,28.3,47.2,56,221,0.11,5.8,0.00,11.2,0.366,0.72,100,0.0
2023-01-01T07:00,14.4,29.5,49.7,57,224,0.11,5.9,0.00,11.2,0.365,0.71,100,0.0
2023-01-01T08:00,14.6,29.9,50.0,57,229,0.13,6.1,0.00,11.2,0.364,0.71,100,4.0
2023-01-01T09:00,14.6,29.0,50.0,58,233,0.13,6.6,0.00,11.4,0.363,0.70,100,38.0
2023-01-01T10:00,14.9,27.3,48.6,60,236,0.14,7.2,0.00,11.6,0.362,0.68,100,116.0
2023-01-01T11:00,15.1,25.7,46.1,60,236,0.14,7.3,0.00,11.9,0.361,0.68,100,144.0
2023-01-01T12:00,15.3,22.7,43.6,61,234,0.14,7.8,0.00,12.2,0.361,0.68,100,179.0
2023-01-01T13:00,15.1,21.3,38.2,62,231,0.12,7.9,0.00,12.2,0.360,0.65,100,126.0
2023-01-01T14:00,14.7,20.7,36.0,63,239,0.10,7.8,0.00,12.1,0.360,0.62,100,77.0
2023-01-01T15:00,13.4,16.1,34.2,67,241,0.06,7.4,0.00,11.6,0.359,0.50,100,23.0
2023-01-01T16:00,12.4,11.9,26.3,72,235,0.03,7.6,0.00,11.1,0.359,0.40,100,0.0
2023-01-01T17:00,10.9,10.7,19.1,80,222,0.01,7.6,0.00,10.5,0.358,0.26,100,0.0
2023-01-01T18:00,11.2,14.1,22.3,79,212,0.02,7.8,0.00,10.1,0.358,0.28,100,0.0
2023-01-01T19:00,11.9,13.7,23.8,77,210,0.02,7.9,0.00,10.1,0.358,0.32,100,0.0
2023-01-01T20:00,11.4,13.4,22.0,79,211,0.02,7.9,0.00,10.1,0.357,0.28,100,0.0
2023-01-01T21:00,11.7,13.4,23.0,78,211,0.02,8.0,0.00,10.1,0.357,0.30,100,0.0
2023-01-01T22:00,11.7,13.2,22.7,78,209,0.02,8.0,0.00,10.1,0.357,0.30,100,0.0
2023-01-01T23:00,11.4,14.4,23.0,81,202,0.02,8.2,0.30,10.1,0.359,0.26,100,0.0
2023-01-02T00:00,10.8,5.1,23.0,87,141,0.00,8.6,0.10,9.4,0.361,0.17,100,0.0
2023-01-02T01:00,10.8,8.0,11.5,85,144,0.00,8.4,0.00,9.4,0.360,0.19,100,0.0
2023-01-02T02:00,11.3,13.4,20.5,81,156,0.01,8.1,0.20,9.4,0.362,0.26,100,0.0
2023-01-02T03:00,11.8,15.6,25.6,77,187,0.03,7.9,0.00,9.4,0.362,0.32,100,0.0
2023-01-02T04:00,12.2,18.8,32.0,74,206,0.04,7.8,0.00,9.5,0.361,0.36,100,0.0
2023-01-02T05:00,11.8,19.2,30.2,75,210,0.04,7.6,0.80,9.4,0.371,0.34,100,0.0
2023-01-02T06:00,12.0,17.6,36.4,78,221,0.03,8.2,0.70,9.4,0.377,0.31,100,0.0
2023-01-02T07:00,12.3,19.6,31.7,75,216,0.04,7.9,0.10,9.6,0.377,0.36,100,0.0
2023-01-02T08:00,11.8,18.8,31.3,78,209,0.05,8.0,0.00,9.6,0.376,0.31,100,6.0
2023-01-02T09:00,12.2,19.8,32.0,76,213,0.06,8.1,0.00,9.8,0.375,0.35,100,51.0
2023-01-02T10:00,13.0,22.0,37.1,72,215,0.09,8.0,0.00,10.1,0.373,0.43,97,117.0
2023-01-02T11:00,13.8,22.8,38.5,68,219,0.12,7.9,0.00,10.6,0.372,0.51,100,173.0
2023-01-02T12:00,14.2,20.4,38.2,61,216,0.13,6.8,0.00,11.9,0.353,0.64,100,136.0
2023-01-02T13:00,14.4,22.7,37.8,61,222,0.12,6.9,0.00,11.7,0.352,0.64,100,61.0
2023-01-02T14:00,14.2,21.7,37.8,63,230,0.10,7.2,0.00,11.5,0.352,0.60,100,17.0
2023-01-02T15:00,13.9,21.7,36.4,65,243,0.09,7.4,0.00,11.4,0.351,0.56,100,10.0
2023-01-02T16:00,12.9,22.2,36.7,70,257,0.05,7.7,0.00,11.2,0.351,0.44,100,0.0
2023-01-02T17:00,12.1,20.6,37.8,71,258,0.05,6.9,0.00,10.9,0.351,0.41,100,0.0
2023-01-02T18:00,11.3,19.5,34.6,73,266,0.04,6.7,0.00,10.6,0.350,0.36,100,0.0
2023-01-02T19:00,10.4,16.9,32.8,78,272,0.02,6.8,0.10,10.4,0.351,0.28,100,0.0
2023-01-02T20:00,9.6,15.5,28.4,84,265,0.01,7.0,0.20,9.9,0.352,0.19,100,0.0
2023-01-02T21:00,9.0,16.8,27.4,86,261,0.01,6.8,0.10,9.5,0.353,0.16,93,0.0
2023-01-02T22:00,8.6,18.0,29.5,86,258,0.01,6.4,0.00,9.1,0.353,0.16,93,0.0
2023-01-02T23:00,8.6,17.2,29.9,85,260,0.01,6.3,0.00,8.8,0.353,0.16,100,0.0
2023-01-03T00:00,7.8,17.0,29.9,91,257,0.00,6.4,0.00,8.8,0.353,0.10,2,0.0
2023-01-03T01:00,7.4,18.4,31.0,90,268,0.00,5.9,0.00,8.2,0.353,0.10,23,0.0
2023-01-03T02:00,6.9,16.9,30.6,91,271,0.00,5.7,0.00,7.8,0.352,0.09,56,0.0
2023-01-03T03:00,6.3,15.5,28.4,92,273,0.00,5.2,0.00,7.3,0.352,0.07,44,0.0
2023-01-03T04:00,5.7,14.0,25.6,93,269,0.00,4.7,0.00,6.8,0.352,0.06,53,0.0
2023-01-03T05:00,5.2,14.4,24.1,93,269,0.00,4.2,0.00,6.4,0.352,0.06,54,0.0
2023-01-03T06:00,4.9,14.4,24.8,92,273,0.00,3.7,0.00,6.2,0.351,0.07,52,0.0
2023-01-03T07:00,4.6,13.8,24.5,92,276,0.00,3.3,0.00,5.9,0.351,0.07,90,0.0
2023-01-03T08:00,4.8,14.4,24.1,90,273,0.01,3.2,0.00,5.8,0.351,0.09,40,8.0
2023-01-03T09:00,4.9,15.5,24.1,88,273,0.02,3.2,0.00,5.8,0.351,0.10,16,77.0
2023-01-03T10:00,5.3,18.1,30.6,84,275,0.05,2.9,0.00,6.2,0.350,0.14,43,166.0
2023-01-03T11:00,5.8,18.7,33.1,79,270,0.06,2.5,0.00,6.6,0.350,0.20,35,160.0
2023-01-03T12:00,6.7,18.4,32.4,75,274,0.07,2.5,0.00,7.3,0.348,0.25,37,159.0
2023-01-03T13:00,6.8,15.6,32.0,71,285,0.07,1.9,0.00,7.4,0.348,0.29,33,125.0
2023-01-03T14:00,6.2,8.4,26.3,75,277,0.04,2.0,0.00,7.2,0.347,0.24,1,103.0
2023-01-03T15:00,3.2,9.0,14.0,89,247,0.01,1.5,0.00,6.4,0.347,0.09,7,31.0
2023-01-03T16:00,1.8,10.4,12.2,92,236,0.00,0.6,0.00,5.4,0.347,0.06,10,0.0
2023-01-03T17:00,1.1,9.9,12.2,93,199,0.00,0.2,0.00,4.6,0.347,0.04,0,0.0
2023-01-03T18:00,1.3,7.7,11.9,95,191,0.00,0.6,0.00,4.1,0.347,0.03,59,0.0
2023-01-03T19:00,3.1,7.2,11.9,93,177,0.00,2.2,0.00,4.2,0.347,0.05,99,0.0
2023-01-03T20:00,3.8,10.1,16.2,90,182,0.00,2.3,0.00,4.4,0.346,0.08,100,0.0
2023-01-03T21:00,3.9,10.1,16.6,91,197,0.00,2.6,0.00,4.6,0.346,0.07,100,0.0
2023-01-03T22:00,3.8,11.3,18.0,93,202,0.00,2.8,0.00,4.6,0.346,0.06,39,0.0
2023-01-03T23:00,3.2,11.3,18.4,94,197,0.00,2.3,0.00,4.3,0.346,0.05,98,0.0
2023-01-04T00:00,3.3,12.9,20.9,92,198,0.00,2.2,0.00,3.8,0.347,0.06,100,0.0
2023-01-04T01:00,3.3,14.1,22.7,92,199,0.00,2.2,0.00,3.7,0.346,0.06,86,0.0
2023-01-04T02:00,3.5,14.9,24.5,92,195,0.00,2.3,0.00,3.7,0.346,0.06,100,0.0
2023-01-04T03:00,3.5,16.2,26.6,92,193,0.00,2.3,0.00,3.7,0.346,0.06,26,0.0
2023-01-04T04:00,3.5,17.2,28.4,92,191,0.00,2.3,0.00,3.7,0.346,0.06,100,0.0
2023-01-04T05:00,3.8,19.1,31.3,91,192,0.00,2.5,0.00,3.7,0.346,0.07,100,0.0
2023-01-04T06:00,4.3,20.6,34.2,88,196,0.01,2.5,0.00,3.8,0.346,0.10,100,0.0
2023-01-04T07:00,5.2,22.3,37.4,82,203,0.02,2.3,0.00,4.0,0.345,0.16,100,0.0
2023-01-04T08:00,5.7,23.7,40.0,85,206,0.03,3.3,0.90,4.3,0.355,0.14,100,3.0
2023-01-04T09:00,6.3,26.3,47.9,88,210,0.03,4.4,1.70,4.8,0.377,0.12,100,6.0
2023-01-04T10:00,6.8,27.4,51.5,89,213,0.03,5.1,1.60,5.2,0.397,0.11,100,13.0
2023-01-04T11:00,7.6,29.8,52.2,88,225,0.04,5.8,1.00,5.6,0.405,0.12,100,21.0
2023-01-04T12:00,7.7,29.3,51.1,90,222,0.03,6.1,1.00,5.5,0.425,0.11,100,24.0
2023-01-04T13:00,8.3,30.8,51.5,87,227,0.04,6.3,0.20,6.1,0.416,0.14,100,33.0
2023-01-04T14:00,8.4,29.1,51.5,89,230,0.03,6.8,0.60,6.4,0.416,0.12,100,19.0
2023-01-04T15:00,8.9,27.3,49.3,86,228,0.04,6.7,0.20,6.7,0.411,0.16,100,6.0
2023-01-04T16:00,9.1,29.3,48.6,85,228,0.02,6.7,0.50,6.8,0.411,0.17,100,0.0
2023-01-04T17:00,9.3,31.5,52.6,86,232,0.02,7.1,0.10,6.9,0.407,0.17,100,0.0
2023-01-04T18:00,9.8,31.5,52.6,86,232,0.02,7.4,0.10,7.2,0.404,0.17,100,0.0
2023-01-04T19:00,9.8,31.6,61.6,88,240,0.02,7.8,0.40,7.4,0.404,0.15,100,0.0
2023-01-04T20:00,10.2,29.6,53.3,85,249,0.03,7.8,0.20,7.6,0.402,0.19,100,0.0
2023-01-04T21:00,9.5,23.7,57.2,90,248,0.01,8.0,1.20,7.7,0.414,0.11,100,0.0
2023-01-04T22:00,9.6,28.9,56.5,89,260,0.01,7.9,0.60,7.8,0.416,0.13,100,0.0
2023-01-04T23:00,9.2,29.5,58.3,90,262,0.01,7.7,0.30,7.8,0.414,0.12,68,0.0
2023-01-05T00:00,9.4,28.9,58.0,85,266,0.02,7.1,0.80,8.0,0.411,0.17,100,0.0
2023-01-05T01:00,8.9,28.7,48.6,87,258,0.02,6.8,0.00,7.7,0.407,0.15,91,0.0
2023-01-05T02:00,8.9,29.2,50.0,87,261,0.02,6.9,0.00,7.5,0.403,0.15,83,0.0
2023-01-05T03:00,9.0,31.3,51.8,86,268,0.02,6.8,0.00,7.4,0.400,0.16,100,0.0
2023-01-05T04:00,8.2,26.7,52.9,91,267,0.01,6.8,0.10,7.3,0.399,0.10,100,0.0
2023-01-05T05:00,8.4,28.2,46.4,88,275,0.02,6.4,0.30,7.2,0.399,0.13,99,0.0
2023-01-05T06:00,7.9,25.1,46.8,91,278,0.01,6.7,0.20,7.2,0.399,0.09,99,0.0
2023-01-05T07:00,7.9,24.2,43.6,92,273,0.00,6.7,0.10,7.2,0.398,0.09,55,0.0
2023-01-05T08:00,7.6,24.5,43.2,92,269,0.02,6.3,0.00,6.9,0.396,0.09,35,9.0
2023-01-05T09:00,7.8,25.2,44.3,90,268,0.03,6.3,0.00,7.1,0.394,0.11,59,80.0
2023-01-05T10:00,8.3,26.3,47.9,86,269,0.05,6.1,0.00,7.3,0.392,0.15,74,139.0
2023-01-05T11:00,8.6,34.0,56.2,83,276,0.07,5.8,0.10,7.7,0.391,0.19,100,157.0
2023-01-05T12:00,8.9,30.7,61.6,72,286,0.08,4.2,0.00,8.2,0.391,0.32,60,91.0
2023-01-05T13:00,9.0,28.3,59.4,69,288,0.10,3.7,0.00,8.3,0.390,0.35,2,170.0
2023-01-05T14:00,8.4,22.1,48.2,72,292,0.07,3.5,0.00,8.1,0.388,0.31,30,109.0
2023-01-05T15:00,7.1,19.7,37.8,78,301,0.03,3.5,0.00,7.6,0.387,0.23,56,32.0
2023-01-05T16:00,6.3,19.2,33.1,79,310,0.02,3.0,0.00,7.2,0.386,0.20,100,0.0
2023-01-05T17:00,6.2,18.8,34.2,79,306,0.02,2.7,0.00,6.9,0.385,0.20,100,0.0
2023-01-05T18:00,6.0,15.6,31.3,79,304,0.02,2.7,0.00,6.7,0.384,0.20,100,0.0
2023-01-05T19:00,5.8,12.0,25.2,80,314,0.01,2.7,0.00,6.6,0.383,0.19,100,0.0
2023-01-05T20:00,5.7,10.7,19.4,80,327,0.01,2.5,0.00,6.4,0.382,0.19,100,0.0
2023-01-05T21:00,5.2,8.6,17.6,80,345,0.00,2.0,0.00,6.3,0.381,0.18,100,0.0
2023-01-05T22:00,4.6,6.8,14.0,79,18,0.00,1.4,0.00,6.1,0.380,0.17,100,0.0
2023-01-05T23:00,4.0,4.3,11.2,81,66,0.00,1.0,0.00,5.8,0.379,0.16,100,0.0
2023-01-06T00:00,4.3,5.8,9.0,77,120,0.00,0.8,0.00,4.0,0.387,0.19,100,0.0
2023-01-06T01:00,4.0,6.9,10.8,79,141,0.00,0.6,0.00,4.3,0.386,0.17,100,0.0
2023-01-06T02:00,4.2,9.3,14.8,78,144,0.01,0.6,0.00,4.6,0.385,0.18,100,0.0
2023-01-06T03:00,4.3,12.2,19.8,78,135,0.01,0.8,0.00,4.8,0.384,0.19,100,0.0
2023-01-06T04:00,4.5,13.8,22.0,78,137,0.01,1.0,0.00,4.9,0.383,0.18,100,0.0
2023-01-06T05:00,4.8,16.1,26.3,81,138,0.01,1.8,0.00,5.1,0.382,0.17,100,0.0
2023-01-06T06:00,5.2,18.8,31.0,83,144,0.01,2.5,0.00,5.2,0.382,0.15,100,0.0
2023-01-06T07:00,5.4,17.6,31.0,87,152,0.01,3.3,0.00,5.3,0.381,0.12,100,0.0
2023-01-06T08:00,6.2,15.9,28.8,88,162,0.02,4.4,0.00,5.5,0.380,0.11,100,3.0
2023-01-06T09:00,7.1,15.9,26.3,90,175,0.03,5.5,0.00,5.8,0.380,0.10,100,21.0
2023-01-06T10:00,7.9,14.6,25.9,91,190,0.03,6.5,0.20,6.2,0.380,0.10,100,28.0
2023-01-06T11:00,9.0,15.9,25.9,90,213,0.04,7.4,0.00,6.8,0.380,0.11,96,57.0
2023-01-06T12:00,9.6,17.1,30.2,88,224,0.06,7.6,0.10,6.1,0.387,0.15,100,130.0
2023-01-06T13:00,9.8,18.7,30.6,86,236,0.04,7.6,0.10,6.7,0.387,0.17,100,31.0
2023-01-06T14:00,10.0,21.0,34.6,83,248,0.04,7.2,0.10,7.2,0.386,0.21,72,21.0
2023-01-06T15:00,9.4,22.3,39.2,86,252,0.03,7.2,0.00,7.3,0.386,0.16,67,16.0
2023-01-06T16:00,8.6,18.8,37.1,89,258,0.01,6.9,0.00,7.2,0.385,0.12,100,0.0
2023-01-06T17:00,8.1,16.6,31.3,90,270,0.00,6.6,0.00,6.9,0.384,0.11,100,0.0
2023-01-06T18:00,7.6,12.6,27.0,91,272,0.00,6.1,0.00,6.7,0.383,0.10,100,0.0
2023-01-06T19:00,7.2,11.5,20.5,90,266,0.00,5.7,0.00,6.4,0.382,0.10,100,0.0
2023-01-06T20:00,6.3,9.2,18.7,93,249,0.00,5.3,0.00,6.1,0.381,0.07,98,0.0
2023-01-06T21:00,5.8,9.2,14.8,96,244,0.00,5.2,0.00,5.8,0.380,0.04,100,0.0
2023-01-06T22:00,5.7,9.5,15.5,96,241,0.00,5.0,0.00,5.4,0.380,0.04,100,0.0
2023-01-06T23:00,5.5,9.6,15.5,96,236,0.00,4.8,0.00,5.2,0.379,0.04,99,0.0
2023-01-07T00:00,5.8,9.2,15.8,95,228,0.00,5.0,0.00,5.2,0.379,0.05,100,0.0
2023-01-07T01:00,5.2,8.2,14.8,96,221,0.00,4.6,0.00,5.1,0.379,0.04,28,0.0
2023-01-07T02:00,4.2,7.8,13.0,97,214,0.00,3.8,0.00,4.7,0.378,0.03,33,0.0
2023-01-07T03:00,4.8,10.0,16.2,96,221,0.00,4.2,0.00,4.6,0.377,0.03,21,0.0
2023-01-07T04:00,4.8,9.3,16.6,97,216,0.00,4.3,0.00,4.5,0.377,0.03,22,0.0
2023-01-07T05:00,4.7,8.4,15.1,97,200,0.00,4.2,0.00,4.4,0.376,0.03,100,0.0
2023-01-07T06:00,6.2,10.7,17.6,95,194,0.00,5.6,0.00,4.9,0.376,0.05,100,0.0
2023-01-07T07:00,7.1,11.6,19.1,95,196,0.00,6.2,0.00,5.4,0.376,0.05,100,0.0
2023-01-07T08:00,7.3,11.8,19.1,94,203,0.01,6.4,0.00,5.8,0.375,0.06,100,5.0
2023-01-07T09:00,7.9,12.8,20.2,93,202,0.02,6.8,0.00,6.2,0.375,0.08,74,49.0
2023-01-07T10:00,8.7,10.5,21.2,92,196,0.04,7.5,0.00,7.0,0.374,0.09,100,118.0
2023-01-07T11:00,9.6,11.3,20.2,89,207,0.06,7.9,0.00,7.8,0.374,0.13,100,158.0
2023-01-07T12:00,9.6,10.1,20.5,90,184,0.06,8.1,0.00,8.4,0.375,0.12,63,158.0
2023-01-07T13:00,10.1,10.8,20.2,87,176,0.06,8.1,0.00,8.7,0.374,0.16,61,176.0
2023-01-07T14:00,9.6,11.5,20.2,88,182,0.04,7.7,0.00,8.6,0.373,0.15,90,113.0
2023-01-07T15:00,8.1,10.1,19.4,91,182,0.01,6.8,0.00,7.9,0.373,0.10,89,37.0
2023-01-07T16:00,7.1,9.7,16.6,92,176,0.00,5.9,0.00,7.2,0.372,0.08,100,0.0
2023-01-07T17:00,6.7,10.9,17.6,93,172,0.00,5.6,0.00,6.7,0.372,0.07,100,0.0
2023-01-07T18:00,6.3,10.2,18.0,93,170,0.00,5.3,0.00,6.2,0.372,0.06,100,0.0
2023-01-07T19:00,5.9,11.3,18.4,95,153,0.00,5.1,0.00,5.9,0.371,0.05,100,0.0
2023-01-07T20:00,6.3,14.2,22.7,94,150,0.00,5.4,0.00,5.9,0.371,0.06,100,0.0
2023-01-07T21:00,6.4,16.1,26.3,91,153,0.00,5.2,0.00,5.9,0.370,0.08,100,0.0
2023-01-07T22:00,6.2,16.4,27.0,92,161,0.00,5.0,0.00,5.8,0.370,0.08,100,0.0
2023-01-07T23:00,5.5,15.9,27.0,93,167,0.00,4.4,0.00,5.6,0.370,0.07,100,0.0
2023-01-08T00:00,5.9,16.7,25.9,91,166,0.00,4.5,0.00,6.8,0.357,0.09,100,0.0
2023-01-08T01:00,5.7,15.5,27.4,91,168,0.00,4.3,0.00,6.2,0.357,0.08,100,0.0
2023-01-08T02:00,5.3,14.0,25.6,92,168,0.00,4.1,0.00,5.8,0.357,0.07,100,0.0
2023-01-08T03:00,4.9,13.9,23.0,91,170,0.00,3.7,0.00,5.4,0.357,0.08,98,0.0
2023-01-08T04:00,5.7,14.4,24.5,89,177,0.00,3.9,0.00,5.3,0.357,0.11,100,0.0
2023-01-08T05:00,6.9,14.8,24.8,82,181,0.01,4.1,0.00,5.7,0.357,0.18,100,0.0
2023-01-08T06:00,7.4,15.5,25.2,79,180,0.02,4.0,0.00,5.9,0.356,0.22,100,0.0
2023-01-08T07:00,7.4,15.9,25.9,80,183,0.02,4.2,0.20,6.1,0.358,0.20,100,0.0
2023-01-08T08:00,7.3,15.6,25.9,82,188,0.03,4.5,0.20,6.2,0.359,0.18,100,2.0
2023-01-08T09:00,7.6,13.0,25.2,83,186,0.03,4.8,0.10,6.3,0.359,0.18,100,18.0
2023-01-08T10:00,7.9,16.7,26.3,84,186,0.04,5.3,0.20,6.6,0.361,0.17,100,48.0
2023-01-08T11:00,7.8,16.2,27.7,88,193,0.04,5.8,0.30,6.8,0.364,0.13,100,53.0
2023-01-08T12:00,7.4,14.8,29.2,89,198,0.04,5.8,0.20,6.6,0.380,0.11,100,68.0
2023-01-08T13:00,8.1,16.1,26.6,89,190,0.04,6.4,0.00,6.9,0.379,0.12,100,91.0
2023-01-08T14:00,8.2,15.2,27.0,88,185,0.03,6.4,0.00,7.1,0.378,0.13,100,68.0
2023-01-08T15:00,8.0,14.4,24.8,90,184,0.02,6.4,0.00,6.9,0.377,0.11,100,17.0
2023-01-08T16:00,7.7,14.3,23.4,90,190,0.00,6.2,0.00,6.7,0.376,0.10,100,0.0
2023-01-08T17:00,7.3,13.4,23.4,91,186,0.00,5.9,0.00,6.4,0.375,0.09,100,0.0
2023-01-08T18:00,7.2,15.8,25.2,90,181,0.00,5.7,0.00,6.3,0.375,0.10,82,0.0
2023-01-08T19:00,6.6,14.8,26.6,91,181,0.00,5.2,0.10,6.0,0.375,0.09,37,0.0
2023-01-08T20:00,6.2,14.8,24.5,92,179,0.00,5.0,0.00,5.8,0.374,0.08,23,0.0
2023-01-08T21:00,5.8,14.0,24.1,93,179,0.00,4.7,0.00,5.5,0.373,0.07,22,0.0
2023-01-08T22:00,5.4,14.0,23.4,93,181,0.00,4.4,0.00,5.2,0.372,0.06,86,0.0
2023-01-08T23:00,5.4,13.8,22.7,93,187,0.00,4.4,0.00,5.0,0.372,0.06,100,0.0
2023-01-09T00:00,5.2,15.1,22.7,93,181,0.00,4.2,0.00,4.8,0.377,0.07,100,0.0
2023-01-09T01:00,5.1,12.8,24.5,93,170,0.00,4.0,0.00,4.7,0.376,0.06,100,0.0
2023-01-09T02:00,4.9,12.9,20.5,93,162,0.00,3.9,0.00,4.6,0.375,0.06,100,0.0
2023-01-09T03:00,4.8,11.7,21.6,93,162,0.00,3.8,0.00,4.5,0.375,0.06,100,0.0
2023-01-09T04:00,4.9,12.9,20.9,92,153,0.00,3.8,0.00,4.5,0.374,0.07,100,0.0
2023-01-09T05:00,5.6,14.0,22.7,90,157,0.00,4.1,0.00,4.8,0.374,0.09,100,0.0
2023-01-09T06:00,5.8,14.6,24.8,90,160,0.00,4.3,0.90,5.0,0.384,0.09,100,0.0
2023-01-09T07:00,5.9,13.7,24.5,92,166,0.00,4.7,1.30,5.2,0.400,0.08,100,0.0
2023-01-09T08:00,6.1,15.8,25.9,92,153,0.02,4.9,1.60,5.3,0.417,0.07,100,1.0
2023-01-09T09:00,6.1,15.4,26.3,91,159,0.02,4.7,0.30,5.4,0.414,0.09,100,14.0
2023-01-09T10:00,6.3,15.5,26.3,90,185,0.03,4.8,0.00,5.7,0.409,0.09,100,30.0
2023-01-09T11:00,7.2,15.3,25.9,90,231,0.03,5.6,0.00,5.9,0.405,0.10,100,42.0
2023-01-09T12:00,8.0,19.7,32.0,85,261,0.06,5.6,0.00,6.3,0.385,0.17,100,142.0
2023-01-09T13:00,7.9,16.3,34.2,82,262,0.06,5.0,0.00,6.7,0.384,0.20,48,159.0
2023-01-09T14:00,7.5,12.0,27.0,83,254,0.04,4.8,0.00,6.7,0.383,0.18,9,121.0
2023-01-09T15:00,5.3,7.2,20.2,90,243,0.01,3.8,0.00,6.1,0.381,0.09,18,41.0
2023-01-09T16:00,4.2,7.9,12.2,92,196,0.00,3.0,0.00,5.3,0.380,0.07,35,0.0
2023-01-09T17:00,4.6,10.6,16.9,91,190,0.00,3.2,0.00,4.8,0.379,0.08,36,0.0
2023-01-09T18:00,4.6,12.6,20.2,90,204,0.00,3.0,0.00,4.6,0.378,0.08,24,0.0
2023-01-09T19:00,4.5,13.6,22.3,90,217,0.00,3.0,0.00,4.4,0.377,0.09,25,0.0
2023-01-09T20:00,4.3,13.0,22.3,90,224,0.00,2.9,0.00,4.2,0.377,0.08,18,0.0
2023-01-09T21:00,4.1,13.2,21.6,90,227,0.00,2.6,0.00,4.1,0.376,0.08,8,0.0
2023-01-09T22:00,3.8,14.3,23.4,91,236,0.00,2.5,0.00,3.8,0.375,0.07,65,0.0
2023-01-09T23:00,4.4,15.0,24.8,90,240,0.00,2.9,0.00,4.0,0.374,0.08,100,0.0
2023-01-10T00:00,5.2,15.3,27.4,89,243,0.00,3.5,0.00,5.5,0.375,0.10,100,0.0
2023-01-10T01:00,5.2,17.7,29.5,89,265,0.00,3.7,0.00,5.2,0.374,0.09,14,0.0
2023-01-10T02:00,4.6,15.5,29.5,93,267,0.00,3.5,0.00,4.8,0.374,0.06,9,0.0
2023-01-10T03:00,4.2,13.4,25.9,95,264,0.00,3.5,0.00,4.5,0.373,0.05,100,0.0
2023-01-10T04:00,4.5,13.7,22.7,95,265,0.00,3.8,0.00,4.4,0.372,0.04,100,0.0
2023-01-10T05:00,5.2,15.5,25.9,93,271,0.00,4.2,0.00,4.7,0.372,0.06,100,0.0
2023-01-10T06:00,5.2,14.8,25.6,93,271,0.00,4.2,0.00,4.8,0.371,0.06,100,0.0
2023-01-10T07:00,5.3,14.0,24.1,93,270,0.00,4.2,0.00,4.9,0.371,0.06,100,0.0
