time,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),et0_fao_evapotranspiration (mm),dew_point_2m (°C),rain (mm),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),vapour_pressure_deficit (kPa),cloud_cover (%),shortwave_radiation (W/m²)
2015-01-01T00:00,3.8,14.4,25.2,96,274,0.00,3.2,0.00,0.5,0.399,0.03,71,0.0
2015-01-01T01:00,3.6,14.9,25.6,95,278,0.00,2.9,0.00,0.6,0.399,0.04,69,0.0
2015-01-01T02:00,3.3,14.6,26.3,94,279,0.00,2.5,0.00,0.6,0.398,0.04,95,0.0
2015-01-01T03:00,3.0,14.1,26.6,94,274,0.00,2.1,0.00,0.7,0.397,0.05,82,0.0
2015-01-01T04:00,2.3,13.0,26.6,94,272,0.00,1.4,0.00,0.7,0.396,0.05,67,0.0
2015-01-01T05:00,1.6,12.3,25.6,93,265,0.00,0.7,0.00,0.6,0.394,0.05,81,0.0
2015-01-01T06:00,0.9,14.8,24.5,93,271,0.00,-0.0,0.00,0.6,0.392,0.04,84,0.0
2015-01-01T07:00,1.7,14.1,28.4,92,267,0.00,0.5,0.00,0.6,0.390,0.06,71,0.0
2015-01-01T08:00,1.8,13.3,26.3,91,251,0.01,0.5,0.00,0.6,0.389,0.06,27,5.0
2015-01-01T09:00,2.2,15.4,28.4,89,254,0.02,0.5,0.00,0.7,0.388,0.08,16,48.0
2015-01-01T10:00,3.0,14.8,30.2,86,256,0.04,0.9,0.00,0.8,0.388,0.11,9,136.0
2015-01-01T11:00,3.8,14.1,30.6,84,251,0.06,1.3,0.00,1.0,0.388,0.13,8,199.0
2015-01-01T12:00,4.2,13.8,27.7,83,242,0.06,1.6,0.00,1.7,0.388,0.14,5,202.0
2015-01-01T13:00,4.4,15.9,31.7,81,245,0.05,1.4,0.00,2.1,0.387,0.16,47,169.0
2015-01-01T14:00,4.0,15.3,31.0,81,246,0.04,1.0,0.00,2.1,0.387,0.16,43,103.0
2015-01-01T15:00,2.9,16.0,27.0,85,247,0.02,0.6,0.00,1.6,0.385,0.11,7,25.0
2015-01-01T16:00,2.0,15.0,23.8,89,243,0.00,0.4,0.00,1.0,0.384,0.07,94,0.0
2015-01-01T17:00,1.9,14.7,25.9,90,234,0.00,0.5,0.00,0.9,0.383,0.07,100,0.0
2015-01-01T18:00,2.2,15.0,29.2,90,228,0.00,0.7,0.00,0.9,0.382,0.07,100,0.0
2015-01-01T19:00,2.0,17.1,31.0,90,222,0.00,0.6,0.00,0.9,0.382,0.07,100,0.0
2015-01-01T20:00,1.9,19.1,34.2,90,227,0.00,0.5,0.00,0.9,0.381,0.07,100,0.0
2015-01-01T21:00,1.8,19.3,35.3,89,225,0.00,0.1,0.00,0.9,0.380,0.08,99,0.0
2015-01-01T22:00,1.8,19.6,36.7,87,227,0.01,-0.2,0.00,0.9,0.380,0.09,100,0.0
2015-01-01T23:00,1.7,20.4,38.5,85,225,0.01,-0.5,0.00,0.9,0.379,0.10,99,0.0
2015-01-02T00:00,1.6,21.9,40.0,84,221,0.01,-0.7,0.00,0.8,0.378,0.11,97,0.0
2015-01-02T01:00,2.0,23.2,41.4,82,222,0.02,-0.8,0.00,0.9,0.378,0.13,97,0.0
2015-01-02T02:00,2.7,23.7,42.8,77,224,0.02,-0.8,0.00,1.0,0.378,0.17,87,0.0
2015-01-02T03:00,3.2,25.0,47.5,74,221,0.03,-1.0,0.00,1.2,0.379,0.20,100,0.0
2015-01-02T04:00,3.6,24.4,48.6,72,225,0.03,-1.0,0.20,1.4,0.381,0.22,100,0.0
2015-01-02T05:00,4.0,25.6,47.5,70,232,0.04,-0.9,0.10,1.7,0.382,0.24,100,0.0
2015-01-02T06:00,3.5,26.3,49.7,83,237,0.02,0.9,0.90,1.9,0.393,0.13,100,0.0
2015-01-02T07:00,4.3,27.1,51.1,86,240,0.01,2.2,0.70,2.2,0.401,0.12,100,0.0
2015-01-02T08:00,4.8,27.6,51.8,88,241,0.03,3.0,0.50,2.5,0.408,0.10,100,1.0
2015-01-02T09:00,5.2,28.2,52.9,89,243,0.03,3.5,0.00,2.8,0.408,0.10,100,6.0
2015-01-02T10:00,6.0,28.6,55.1,89,249,0.03,4.2,0.00,3.2,0.407,0.11,100,16.0
2015-01-02T11:00,6.6,28.8,56.2,88,252,0.03,4.8,0.00,3.6,0.407,0.11,100,20.0
2015-01-02T12:00,7.0,30.5,57.2,88,256,0.03,5.2,0.00,3.9,0.407,0.12,100,17.0
2015-01-02T13:00,7.5,30.2,61.2,86,262,0.04,5.3,0.00,4.3,0.407,0.14,81,35.0
