fecha,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),et0_fao_evapotranspiration (mm),dew_point_2m (°C),rain (mm),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),vapour_pressure_deficit (kPa),cloud_cover (%),shortwave_radiation (W/m²)
2014-01-01,1.0666666666666667,12.283333333333333,22.1875,89.375,173.54166666666666,0.011250000000000001,-0.525,0.0,1.2291666666666667,0.37483333333333335,0.07375,73.875,28.416666666666668
2014-01-02,3.341666666666667,15.9625,28.45,85.95833333333333,171.0,0.015833333333333335,1.1708333333333334,0.0,2.2125,0.37104166666666666,0.11541666666666667,93.41666666666667,21.75
2014-01-03,5.5874999999999995,14.808333333333335,27.833333333333332,87.875,195.54166666666666,0.018333333333333333,3.6833333333333336,0.0,4.016666666666667,0.3681666666666667,0.11875000000000001,61.041666666666664,35.958333333333336
2014-01-04,6.216666666666666,15.016666666666666,29.95,85.125,171.16666666666666,0.020416666666666666,3.904166666666667,0.04583333333333334,4.8500000000000005,0.3737083333333333,0.14208333333333334,72.29166666666667,31.625
2014-01-05,4.9875,12.566666666666668,23.804166666666664,91.95833333333333,227.375,0.009583333333333334,3.7708333333333335,0.008333333333333333,4.5125,0.3717916666666667,0.07166666666666667,76.75,13.75
2014-01-06,4.495833333333334,16.375,30.575,87.375,192.75,0.015416666666666667,2.5166666666666666,0.12083333333333333,3.525,0.3735,0.11458333333333333,69.70833333333333,20.75
2014-01-07,8.104166666666666,17.341666666666665,33.395833333333336,86.70833333333333,211.45833333333334,0.020833333333333332,6.0249999999999995,0.225,6.0874999999999995,0.4048333333333333,0.14458333333333334,48.041666666666664,40.666666666666664
2014-01-08,7.6875,16.412499999999998,32.65416666666667,87.875,232.0,0.01625,5.779166666666666,0.25416666666666665,6.145833333333333,0.4134166666666667,0.13208333333333333,77.0,22.458333333333332
2014-01-09,8.133333333333333,19.825,38.30416666666667,85.83333333333333,212.91666666666666,0.02916666666666667,5.820833333333333,0.08333333333333333,6.233333333333333,0.4018333333333333,0.1675,97.0,22.625
2014-01-10,5.841666666666666,24.90833333333333,49.99166666666667,75.70833333333333,259.0,0.041666666666666664,1.8625,0.020833333333333332,5.670833333333333,0.39495833333333336,0.22708333333333333,71.95833333333333,23.791666666666668
2014-01-11,4.791666666666667,17.991666666666667,36.483333333333334,81.75,241.16666666666666,0.02666666666666667,1.9208333333333334,0.09166666666666666,4.891666666666667,0.38875,0.15875,70.25,35.375
2014-01-12,3.908333333333333,22.75,46.03333333333333,80.45833333333333,270.5,0.028333333333333335,0.8250000000000001,0.004166666666666667,4.108333333333333,0.39125000000000004,0.16083333333333336,68.0,32.916666666666664
2014-01-13,2.1750000000000003,9.754166666666666,19.041666666666668,88.375,182.54166666666666,0.014166666666666668,0.3958333333333333,0.0,2.7416666666666667,0.381125,0.08833333333333333,95.25,29.958333333333332
2014-01-14,3.766666666666667,6.166666666666667,12.75,94.75,102.79166666666667,0.009583333333333334,2.975,0.0,3.8791666666666664,0.37725000000000003,0.04416666666666667,100.0,21.458333333333332
2014-01-15,3.3041666666666667,5.929166666666667,12.841666666666667,91.0,125.08333333333333,0.010416666666666666,1.9458333333333335,0.0,3.966666666666667,0.3744166666666667,0.07125,99.16666666666667,17.708333333333332
2014-01-16,2.5833333333333335,14.958333333333334,27.8875,94.95833333333333,124.20833333333333,0.005416666666666667,1.8791666666666667,0.2625,3.2458333333333336,0.39283333333333337,0.035416666666666666,100.0,9.583333333333334
2014-01-17,5.004166666666666,8.75,17.058333333333334,93.29166666666667,189.29166666666666,0.014166666666666668,3.9875000000000003,0.0625,4.383333333333334,0.40358333333333335,0.06208333333333333,62.833333333333336,38.916666666666664
2014-01-18,2.6041666666666665,13.304166666666667,24.7375,93.25,132.83333333333334,0.01375,1.6208333333333333,0.0,2.658333333333333,0.38683333333333336,0.0525,86.66666666666667,42.875
2014-01-19,1.5791666666666666,20.054166666666667,40.24166666666667,83.29166666666667,79.91666666666667,0.018333333333333333,-0.9458333333333333,0.0,2.775,0.38033333333333336,0.1125,100.0,12.291666666666666
2014-01-20,-1.0791666666666666,15.266666666666666,32.3375,85.66666666666667,63.708333333333336,0.011666666666666667,-3.1916666666666664,0.0375,1.0125,0.3785833333333333,0.0825,100.0,6.041666666666667
2014-01-21,-3.0,9.666666666666666,19.900000000000002,85.83333333333333,58.083333333333336,0.0075,-5.0249999999999995,0.008333333333333333,0.17500000000000002,0.3782916666666667,0.06999999999999999,99.58333333333333,12.416666666666666
2014-01-22,-4.2,12.979166666666666,24.28333333333333,72.95833333333333,80.70833333333333,0.02,-8.370833333333334,0.0,-0.3833333333333333,0.3729166666666666,0.12291666666666667,99.08333333333333,24.083333333333332
2014-01-23,-5.204166666666667,14.891666666666666,29.308333333333334,72.41666666666667,90.20833333333333,0.022083333333333333,-9.420833333333333,0.0,-0.8624999999999999,0.3695833333333333,0.11666666666666668,88.45833333333333,44.041666666666664
2014-01-24,-6.666666666666667,17.991666666666667,35.458333333333336,69.33333333333333,79.54166666666667,0.024583333333333332,-11.358333333333334,0.0,-1.4541666666666666,0.3674583333333333,0.11541666666666667,66.08333333333333,42.833333333333336
2014-01-25,-10.379166666666666,12.65,26.537499999999998,65.08333333333333,92.375,0.020416666666666666,-15.766666666666667,0.0,-2.9250000000000003,0.3655833333333333,0.09875,40.375,60.416666666666664
