,Unnamed: 0,tipo_polinico,granos_de_polen_x_metro_cubico,fecha,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),et0_fao_evapotranspiration (mm),dew_point_2m (°C),rain (mm),soil_moisture_0_to_7cm (m³/m³),vapour_pressure_deficit (kPa),soil_temperature_0_to_7cm (°C),cloud_cover (%),Benceno (ug/m3),CO (mg/m3),NO (ug/m3),NO2 (ug/m3),NOx (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Tolueno (ug/m3),precip_autumn_last_year,precip_winter_last_year,temp_mean_spring_summer_last,radiation_sum_spring_summer_last,co2_mean_april_may_last,o3_mean_april_may_last,no2_mean_april_may_last,drought_days_summer_last,growing_degree_days_last,polen_last_year
15,15,Gram?neas,,2021-01-16,-0.0291666666666666,4.5625,7.633333333333333,73.08333333333333,186.375,0.0487499999999999,-4.5875,0.0,0.3003333333333333,0.1929166666666666,-1.5333333333333332,21.0,,1.1,156.0,82.0,321.0,,,,,,,,,,,,,,,
16,16,Gram?neas,,2021-01-17,-1.8708333333333331,6.233333333333333,9.1,65.70833333333333,146.20833333333334,0.0499999999999999,-8.129166666666666,0.0,0.31625,0.24,-1.6958333333333335,16.958333333333332,,0.9,76.0,68.0,185.0,,,,,,,,,,,,,,,
17,17,Gram?neas,,2021-01-18,-0.425,7.1375,10.216666666666669,79.58333333333333,126.91666666666669,0.0479166666666666,-3.8,0.0,0.3342916666666666,0.1604166666666666,-1.3791666666666669,0.0,,0.7,97.0,83.0,231.0,,,,,,,,,,,,,,,
18,18,Gram?neas,,2021-01-19,-1.4375,7.441666666666666,10.770833333333334,88.625,91.16666666666669,0.04375,-3.1916666666666664,0.0,0.3462916666666666,0.0829166666666666,-1.0291666666666666,36.583333333333336,1.0,0.5,37.0,72.0,128.0,20.0,22.0,17.0,3.0,2.9,,,,,,,,,,
19,19,Gram?neas,,2021-01-20,2.6875,11.229166666666666,20.541666666666668,93.33333333333331,179.66666666666666,0.01625,1.7,0.1041666666666666,0.373375,0.0508333333333333,-0.45,95.625,1.2,0.5,34.0,72.0,125.0,17.0,20.0,16.0,2.0,3.3,,,,,,,,,,
20,20,Gram?neas,,2021-01-21,8.091666666666667,19.8,35.108333333333334,92.54166666666669,227.33333333333331,0.0233333333333333,6.9125000000000005,0.0333333333333333,0.399375,0.0854166666666666,4.3,98.83333333333331,0.4,0.3,10.0,32.0,47.0,42.0,,,2.0,1.4,,,,,,,,,,
21,21,Gram?neas,,2021-01-22,7.095833333333334,23.27083333333333,47.59166666666667,88.33333333333333,244.95833333333331,0.0325,5.2625,0.0833333333333333,0.3902916666666667,0.1204166666666666,6.345833333333334,52.083333333333336,,0.3,11.0,32.0,48.0,48.0,7.0,3.0,2.0,,,,,,,,,,,
22,22,Gram?neas,,2021-01-23,6.433333333333334,21.745833333333334,39.525,92.25,235.625,0.0166666666666666,5.275,0.0833333333333333,0.37125,0.0770833333333333,5.541666666666667,87.75,0.4,0.2,6.0,20.0,30.0,52.0,6.0,3.0,2.0,0.8,,,,,,,,,,
23,23,Gram?neas,,2021-01-24,8.825000000000001,17.408333333333335,31.84166666666667,75.95833333333333,256.9583333333333,0.0604166666666666,4.641666666666667,0.0249999999999999,0.3672083333333333,0.2845833333333333,7.8125,68.83333333333333,0.4,0.2,4.0,19.0,26.0,58.0,9.0,3.0,2.0,0.8,,,,,,,,,,
24,24,Gram?neas,0.0,2021-01-25,10.2,20.941666666666663,37.6625,91.875,244.58333333333331,0.02125,8.920833333333333,0.0625,0.3531666666666666,0.1045833333333333,8.891666666666667,87.58333333333333,0.4,0.3,10.0,28.0,43.0,36.0,5.0,3.0,2.0,1.3,,,,,,,,,,
25,25,Gram?neas,4.0,2021-01-26,11.479166666666666,10.575,19.3,91.29166666666669,261.5416666666667,0.0383333333333333,10.054166666666667,0.0166666666666666,0.336125,0.1295833333333333,10.025,78.70833333333333,0.5,0.3,14.0,30.0,52.0,23.0,8.0,5.0,2.0,,,,,,,,,,,
26,26,Gram?neas,2.0,2021-01-27,13.229166666666666,9.166666666666666,17.895833333333332,85.83333333333333,281.6666666666667,0.06375,10.6875,0.0,0.3263333333333333,0.2545833333333333,12.195833333333333,85.04166666666667,0.7,0.4,30.0,32.0,78.0,15.0,16.0,9.0,2.0,7.2,,,,,,,,,,
27,27,Gram?neas,0.0,2021-01-28,10.970833333333331,5.466666666666666,11.854166666666666,92.79166666666669,251.75,0.0358333333333333,9.779166666666669,0.0083333333333333,0.3127916666666666,0.105,11.233333333333334,90.625,0.5,0.3,16.0,25.0,49.0,15.0,12.0,8.0,2.0,3.4,,,,,,,,,,
28,28,Gram?neas,3.0,2021-01-29,10.204166666666667,8.145833333333334,16.283333333333335,92.625,228.875,0.04,8.975,0.0,0.3007083333333333,0.1070833333333333,10.429166666666667,83.125,0.6,0.3,22.0,27.0,61.0,17.0,14.0,7.0,2.0,2.8,,,,,,,,,,
29,29,Gram?neas,1.0,2021-01-30,9.925,21.004166666666663,42.19166666666667,78.33333333333333,247.125,0.06625,6.104166666666667,0.1791666666666666,0.322875,0.2679166666666666,10.258333333333333,71.20833333333333,0.4,0.2,4.0,20.0,26.0,46.0,7.0,3.0,2.0,1.4,,,,,,,,,,
30,30,Gram?neas,0.0,2021-01-31,9.2625,21.454166666666666,38.28333333333333,85.625,242.33333333333331,0.0395833333333333,6.925,0.0166666666666666,0.3082499999999999,0.1645833333333333,8.9375,86.75,0.4,0.2,3.0,17.0,21.0,59.0,8.0,4.0,2.0,0.8,,,,,,,,,,
